,ID_hecho,FECHA
530,2019-0095,11/20/2019
531,2019-0096,11/22/2019
532,2019-0097,11/25/2019
533,2019-0098,11/25/2019
534,2019-0100,12/5/2019
535,2019-0101,12/17/2019
536,2019-0102,12/17/2019
537,2019-0103,12/18/2019
538,2019-0104,12/21/2019
539,2020-0001,1/4/2020
540,2020-0002,1/5/2020
541,2020-0003,1/11/2020
542,2020-0004,1/14/2020
543,2020-0005,1/14/2020
544,2020-0006,1/20/2020
545,2020-0007,1/27/2020
546,2020-0008,1/30/2020
547,2020-0009,2/4/2020
548,2020-0010,2/8/2020
549,2020-0011,2/12/2020
550,2020-0012,2/18/2020
551,2020-0013,2/20/2020
552,2020-0014,2/27/2020
553,2020-0015,2/28/2020
554,2020-0016,2/29/2020
555,2020-0017,3/5/2020
556,2020-0018,3/9/2020
557,2020-0019,3/10/2020
558,2020-0020,3/13/2020
559,2020-0021,3/14/2020
560,2020-0022,4/7/2020
561,2020-0023,4/9/2020
562,2020-0024,4/24/2020
563,2020-0025,5/12/2020
564,2020-0026,5/17/2020
565,2020-0027,5/18/2020
566,2020-0028,5/19/2020
567,2020-0029,6/10/2020
568,2020-0030,6/16/2020
569,2020-0031,6/30/2020
570,2020-0032,7/10/2020
571,2020-0033,7/19/2020
572,2020-0034,8/2/2020
573,2020-0035,8/4/2020
574,2020-0036,8/7/2020
575,2020-0037,8/29/2020
576,2020-0038,8/30/2020
577,2020-0038,8/30/2020
578,2020-0039,9/1/2020
579,2020-0040,9/12/2020
580,2020-0041,9/28/2020
581,2020-0042,9/29/2020
582,2020-0043,9/30/2020
583,2020-0044,10/5/2020
584,2020-0045,10/19/2020
585,2020-0046,10/27/2020
586,2020-0047,10/27/2020
587,2020-0048,10/29/2020
588,2020-0049,10/30/2020
589,2020-0050,11/1/2020
590,2020-0051,11/5/2020
591,2020-0052,11/7/2020
592,2020-0053,11/9/2020
593,2020-0054,11/19/2020
594,2020-0055,11/19/2020
595,2020-0056,11/21/2020
596,2020-0057,11/23/2020
597,2020-0058,11/24/2020
598,2020-0059,12/1/2020
599,2020-0060,12/3/2020
600,2020-0061,12/3/2020
601,2020-0062,12/4/2020
602,2020-0063,12/5/2020
603,2020-0063,12/5/2020
604,2020-0065,12/5/2020
605,2020-0066,12/7/2020
606,2020-0067,12/11/2020
607,2020-0068,12/12/2020
608,2020-0069,12/15/2020
609,2020-0070,12/17/2020
610,2020-0071,12/17/2020
611,2020-0072,12/19/2020
612,2020-0073,12/20/2020
613,2020-0074,12/20/2020
614,2020-0075,12/23/2020
615,2020-0076,12/24/2020
616,2020-0077,12/25/2020
617,2020-0077,12/25/2020
618,2020-0078,12/25/2020
619,2020-0079,12/27/2020
620,2021-0001,1/6/2021
621,2021-0002,1/7/2021
622,2021-0003,1/10/2021
623,2021-0004,1/11/2021
624,2021-0005,1/11/2021
625,2021-0006,1/12/2021
626,2021-0007,1/18/2021
627,2021-0008,1/22/2021
628,2021-0009,1/23/2021
629,2021-0010,1/23/2021
630,2021-0011,1/27/2021
631,2021-0012,1/29/2021
632,2021-0013,1/31/2021
633,2021-0014,2/2/2021
634,2021-0015,2/6/2021
635,2021-0016,2/14/2021
636,2021-0017,2/17/2021
637,2021-0018,2/20/2021
638,2021-0019,2/21/2021
639,2021-0020,2/21/2021
640,2021-0021,2/26/2021
641,2021-0022,2/28/2021
642,2021-0023,3/1/2021
643,2021-0024,3/3/2021
644,2021-0025,3/11/2021
645,2021-0026,3/15/2021
646,2021-0027,3/16/2021
647,2021-0028,3/29/2021
648,2021-0029,3/31/2021
649,2021-0030,4/3/2021
650,2021-0031,4/7/2021
651,2021-0032,4/10/2021
652,2021-0033,4/14/2021
653,2021-0034,4/19/2021
654,2021-0035,5/3/2021
655,2021-0036,5/9/2021
656,2021-0037,5/11/2021
657,2021-0038,5/14/2021
658,2021-0039,5/15/2021
659,2021-0040,5/20/2021
660,2021-0041,5/20/2021
661,2021-0042,5/21/2021
662,2021-0043,5/22/2021
663,2021-0044,5/25/2021
664,2021-0045,5/26/2021
665,2021-0046,5/31/2021
666,2021-0047,6/2/2021
667,2021-0048,6/3/2021
668,2021-0049,6/3/2021
669,2021-0050,6/10/2021
670,2021-0051,6/15/2021
671,2021-0052,6/20/2021
672,2021-0053,6/20/2021
673,2021-0054,6/22/2021
674,2021-0055,6/29/2021
675,2021-0056,7/9/2021
676,2021-0057,7/10/2021
